nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14
 916,     1,  58, -10, -10, -18, -10, -10, -10, -14, -10, -14, -10, -30, -10, -10, -26
 917,     1,  -7,  -7,  -7,  -7,  65, -11, -11, -11, -19, -15,  -7, -11,  -7,  -7,  -7
 918,     1, -32, -36,  64,  -8,  -8, -12,  -8,  -8,  -8,  -8,  -8, -36, -28, -24,  -8
 919,     1, -27,  -7,  -7,  -7, -11,  -7,  -7,  -7, -19,  -7, -31, -23, -23,  65, -11
 920,     1,  -7,  -7, -23,  -7,  -7,  -7,  -7, -31,  65, -19,  -7, -27,  -7,  -7, -27
 921,     1,  -5,  -5,  -5, -13, -25,  87,  -5,  -5, -25,  -5, -13, -13,  -5,  -5,  -5
 922,     1, -11,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3
 923,     1,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -2, -10,  -2,  -2,  -2,  -2,  -2,  -2
 924,     1, -17,  -5, -25, -13, -21,  -9,  79,  -5, -21,  -5,  -5, -25,  -5, -13, -17
 925,     1,  -5,  -5, -17,  -5,  -5,  -5, -13,  -5,  -5,  79,  -5, -25,  -5,  -9, -17
 926,     1,  -7,  -7, -15,  -7,  -7,  -7,  -7, -27,  -7,  -7,  -7,  85,  -7, -27,  -7
 927,     1,  84,  -8,  -8, -24,  -8,  -8, -16, -20,  -8, -36,  -8, -32,  -8, -20, -12
 928,     1, -11,  -7,  -7,  -7,  -7, -11,  -7, -19,  -7,  -7, -19,  77,  -7,  -7, -19
 929,     1, -10, -46, -38, -10, -42, -10,  62, -42, -38, -10, -42, -38, -26, -10, -18
 930,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  91,  -5,  -5,  -5, -17,  -5,  -5
 931,     1, -15,  -7,  -7, -31, -27,  -7,  -7, -11,  -7,  77, -23, -19,  -7, -31,  -7
 932,     1,  -4,  -4,  -4,  -4,  -4,  92, -16, -20, -16,  -4,  -4,  -4,  -4, -12,  -4
 933,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  85,  -3
 934,     1,  -2,  90, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 935,     1,  -5,  83,  -5,  -5, -17,  -5,  -5,  -9,  -5, -17,  -5,  -9,  -5,  -5,  -5
 936,     1, -10,  -6, -14, -26,  -6,  -6,  -6,  -6,  86,  -6, -18, -14, -18,  -6, -14
 937,     1,  -4, -12,  -4,  -4, -12,  -4,  -4,  -4,  -4, -12,  92,  -4,  -4,  -4, -12
 938,     1,  -9,  67, -41,  -9, -33,  -9,  -9, -33, -29,  -9,  -9, -17, -21,  -9,  -9
 939,     1,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  92,  -4, -20
 940,     1,  -9,  -9, -41,  59, -33,  -9, -33, -17, -37,  -9, -37, -33, -41,  -9, -41
 941,     1,  -6, -14, -18,  86,  -6, -14,  -6,  -6,  -6, -18,  -6, -14,  -6, -26,  -6
 942,     1, -13,  -5,  -5,  -5,  87,  -5,  -5,  -5,  -5, -13,  -5,  -5, -17,  -9,  -5
 943,     1,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -15,  93,  -3,  -3, -15
 944,     1,  59,  -9, -17, -41, -21,  -9, -21,  -9,  -9,  -9, -21, -41, -21,  -9,  -9
 945,     1,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3
 946,     1,  84,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12, -16,  -4,  -4,  -4, -20
 947,     1,  -6,  -6, -14,  -6, -18, -18, -10, -30,  -6,  -6,  -6, -10,  -6,  90,  -6
 948,     1,  -7,  -7, -31, -15, -35,  -7,  -7, -31, -15,  -7, -19,  85, -31,  -7, -31
 949,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4, -20,  92, -16,  -4,  -4
 950,     1,  -3,  -3,  -3,  -3,  -3,  -3,  85, -11,  -3,  -3,  -3,  -3,  -3, -15, -15
 951,     1,  -6,  -6, -22,  -6, -14,  -6, -22,  -6,  -6, -22, -14, -30,  78, -22,  -6
 952,     1,  -4, -20,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  84, -12,  -4, -16
 953,     1, -26, -10, -10,  -6, -30, -14,  -6,  -6, -10,  -6, -10,  74,  -6,  -6, -22
 954,     1,  -4, -16, -16, -12,  -8,  -4,  -4,  -4,  -8,  -4,  84,  -4, -20,  -4,  -8
 955,     1, -18, -22, -18,  -6, -22,  -6,  70,  -6,  -6, -30, -22,  -6,  -6,  -6,  -6
 956,     1,  -7,  -7,  -7, -11, -31, -11,  -7,  -7,  -7,  77, -19,  -7,  -7,  -7, -27
 957,     1,  -9,  -9,  71,  -9,  -9,  -9, -37,  -9,  -9, -25,  -9, -21,  -9, -25, -13
 958,     1,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 959,     1,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  84,  -4, -16, -16,  -4
 960,     1,  -7,  -7,  -7,  -7, -15,  -7,  -7,  -7,  85,  -7,  -7,  -7, -15, -31,  -7
 961,     1,  87,  -5, -21,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -9,  -5
 962,     1, -17,  87,  -5,  -5,  -5,  -5,  -5, -13,  -5, -21,  -5, -21, -25,  -5, -21
 963,     1, -10, -26, -26,  86, -18, -42, -10, -18, -10, -10, -10, -38, -30, -18, -10
 964,     1,  -4,  -4,  -4,  -4,  -4,  -8,  -4, -12,  -4,  -4,  -8,  84, -12,  -4,  -8
 965,     1,  -7,  -7, -11,  -7,  -7,  -7, -19, -19,  85,  -7, -27,  -7,  -7,  -7, -35
 966,     1, -20, -16,  -4,  88,  -4,  -4, -20, -16,  -8,  -4, -12,  -4,  -4,  -4,  -4
 967,     1, -14,  90, -10, -14, -26, -26,  -6, -22,  -6, -22,  -6, -22,  -6,  -6,  -6
 968,     1,  -6,  -6,  -6,  90, -30,  -6,  -6,  -6,  -6,  -6,  -6, -14,  -6,  -6,  -6
 969,     1,  -7,  69,  -7,  -7,  -7,  -7, -35, -27, -31,  -7,  -7, -27,  -7,  -7, -23
 970,     1,  92,  -4,  -4,  -8, -16,  -4,  -4, -20, -12,  -4,  -4,  -4,  -8,  -8, -16
 971,     1,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11,  -3,  93
 972,     1, -10, -10,  58, -22, -10, -14, -22, -10, -10, -10, -10, -42, -26, -10, -10
 973,     1,  -6, -30,  -6,  -6,  -6, -26, -10,  -6, -14, -30, -26,  -6,  -6,  86, -26
 974,     1,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  89,  -3,  -3,  -3,  -7
 975,     1, -28,  -8,  -8,  -8,  -8, -20,  84, -28,  -8,  -8,  -8, -36, -32,  -8, -32
 976,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2
 977,     1,  -5, -21,  83,  -5,  -5,  -5, -13,  -9,  -9,  -5,  -5,  -5,  -5, -17,  -5
 978,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3
 979,     1,  -6,  -6, -26,  -6,  -6, -30,  -6,  -6,  78, -14,  -6,  -6,  -6, -30, -22
 980,     1,  -4, -16,  88,  -4,  -4,  -4,  -4, -12, -16,  -4, -12,  -4, -12,  -4,  -4
 981,     1,  -6, -26,  -6,  -6, -22, -22,  -6,  86,  -6,  -6,  -6,  -6, -10,  -6, -22
 982,     1, -11,  -7, -31, -11,  -7,  -7, -11,  -7, -27, -11, -31,  -7,  65, -31,  -7
 983,     1, -22, -18,  -6,  90, -10, -30,  -6,  -6, -18,  -6, -26,  -6, -26,  -6,  -6
 984,     1, -17,  -9, -29, -41, -21, -33,  -9,  -9,  67, -13,  -9,  -9, -13,  -9, -29
 985,     1, -37, -17, -41,  63, -21, -29,  -9, -21, -21, -33,  -9,  -9, -33,  -9, -17
 986,     1,  -4,  -4,  -4, -20,  -4,  -4, -12,  -4,  84,  -4,  -8,  -4, -16,  -4, -20
 987,     1,  -3,  -3,  -7,  -3, -15,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -7,  89,  -3
 988,     1, -22, -10, -10, -10,  66, -10, -30, -38, -22, -34, -22, -26, -10, -26, -30
 989,     1,  90,  -6,  -6,  -6,  -6, -22,  -6,  -6,  -6, -30, -18, -18,  -6,  -6,  -6
 990,     1, -12, -16,  -4, -12,  88,  -4,  -8, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 991,     1,  -8, -36,  -8,  -8,  -8, -28,  -8,  -8, -12,  -8,  72,  -8,  -8,  -8,  -8
 992,     1,  -5,  -5,  91, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -5
 993,     1, -21, -21,  -5,  -5, -21,  -5,  -5,  -5,  87,  -5, -13,  -5, -21,  -5,  -5
 994,     1,  -5,  -5, -17,  -5, -17, -13,  -9, -17,  91,  -5,  -5,  -5,  -5, -17,  -5
 995,     1,  -7,  -7, -27,  -7,  -7,  -7,  -7, -23,  89,  -7,  -7, -19, -11,  -7, -27
 996,     1, -19, -11,  -7, -19,  -7,  -7,  65,  -7, -15,  -7,  -7,  -7,  -7, -27, -11
 997,     1,  -7,  -7,  -7, -23,  89, -19,  -7, -35,  -7, -27,  -7, -31, -15,  -7,  -7
 998,     1,  -9,  -9,  63,  -9, -13, -25, -13,  -9, -37,  -9,  -9, -21,  -9, -41, -13
 999,     1, -22, -42, -10, -30, -10, -10, -42,  58, -18, -34, -10, -14,  74,  66, -10
